index,classification,gram,detection,Ignore_label
Control,Control,Control,0,FALSE
Acinetobacter_baumannii,Acinetobacter_baumannii,n,1,FALSE
Enterobacter_aerogenes,Enterobacter_aerogenes,n,1,FALSE
Enterobacter_cloacae,Enterobacter_cloacae,n,1,FALSE
Enterococcus_faecalis,Enterococcus_faecalis,p,1,FALSE
Enterococcus_faecium,Enterococcus_faecium,p,1,FALSE
Escherichia_coli,Escherichia_coli,n,1,FALSE
Klebsiella_oxytoca,Klebsiella_oxytoca,n,1,FALSE
Klebsiella_pneumoniae,Klebsiella_pneumoniae,n,1,FALSE
Proteus_mirabilis,Proteus_mirabilis,n,1,FALSE
Pseudomonas_aeruginosa,Pseudomonas_aeruginosa,n,1,FALSE
Salmonella_enterica,Salmonella_enterica,n,1,FALSE
Serratia_marcescens,Serratia_marcescens,n,1,FALSE
Staphylococcus_aureus,Staphylococcus_aureus,p,1,FALSE
Staphylococcus_epidermidis,Staphylococcus_epidermidis,p,1,FALSE
Staphylococcus_lugdunensis,Staphylococcus_lugdunensis,p,1,FALSE
Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia,n,1,FALSE
Streptococcus_pneumoniae,Streptococcus_pneumoniae,p,1,FALSE
CCFStaphylococcus_aureus,Staphylococcus_aureus,p,1,TRUE
Strep_Group A,Streptococcus_pneumoniae,p,1,TRUE
Strep_Group B,Streptococcus_pneumoniae,p,1,TRUE
