index,classification,gram,detection,Ignore_label,url,pic
Control,Control,Control,0,FALSE,,
Acinetobacter_baumannii,Acinetobacter_baumannii,n,1,FALSE,https://en.wikipedia.org/wiki/Acinetobacter_baumannii,"https://en.wikipedia.org/wiki/Acinetobacter_baumannii#/media/File:Acinetobacter_baumannii,_SEM,_9330_lores.JPG"
Enterobacter_aerogenes,Enterobacter_aerogenes,n,1,FALSE,https://en.wikipedia.org/wiki/Enterobacter_aerogenes,http://www.bioquell.com/files/cache/a50fd2bf9afa24233c3e744df06202a5_f213.jpg
Enterobacter_cloacae,Enterobacter_cloacae,n,1,FALSE,https://en.wikipedia.org/wiki/Enterobacter_cloacae,http://t1.uccdn.com/images/1/8/6/img_como_tratar_la_bacteria_enterobacter_cloacae_20681_orig.jpg
Enterococcus_faecalis,Enterococcus_faecalis,p,1,FALSE,https://en.wikipedia.org/wiki/Enterococcus_faecalis,https://en.wikipedia.org/wiki/Enterococcus_faecalis#/media/File:Enterococcus_faecalis20023-300.jpg
Enterococcus_faecium,Enterococcus_faecium,p,1,FALSE,https://en.wikipedia.org/wiki/Enterococcus_faecium,http://petnet-wp.s3.amazonaws.com/wp-content/uploads/2014/03/Enterococcus-Faecium-L.jpg
Escherichia_coli,Escherichia_coli,n,1,FALSE,https://en.wikipedia.org/wiki/Escherichia_coli,https://en.wikipedia.org/wiki/Escherichia_coli#/media/File:EscherichiaColi_NIAID.jpg
Klebsiella_oxytoca,Klebsiella_oxytoca,n,1,FALSE,https://en.wikipedia.org/wiki/Klebsiella_oxytoca,https://en.wikipedia.org/wiki/Klebsiella_oxytoca
Klebsiella_pneumoniae,Klebsiella_pneumoniae,n,1,FALSE,https://en.wikipedia.org/wiki/Klebsiella_pneumoniae,http://klebsiella-pneumoniae.org/klebsiella_pneumoniae_2.jpg
Proteus_mirabilis,Proteus_mirabilis,n,1,FALSE,https://en.wikipedia.org/wiki/Proteus_mirabilis,http://web.uconn.edu/mcbstaff/graf/Student%20presentations/Proteus/99687A.jpg
Pseudomonas_aeruginosa,Pseudomonas_aeruginosa,n,1,FALSE,https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa,http://ehp.niehs.nih.gov/wp-content/uploads/120/5/ehp.120-a190.g001.png
Salmonella_enterica,Salmonella_enterica,n,1,FALSE,https://en.wikipedia.org/wiki/Salmonella_enterica,https://microbewiki.kenyon.edu/images/thumb/6/6c/Salmonella_typhi.jpg/250px-Salmonella_typhi.jpg
Serratia_marcescens,Serratia_marcescens,n,1,FALSE,https://en.wikipedia.org/wiki/Serratia_marcescens,http://www.denniskunkel.com/gallery/bacteria/261248A.jpg
Staphylococcus_aureus,Staphylococcus_aureus,p,1,FALSE,https://en.wikipedia.org/wiki/Staphylococcus_aureus,https://en.wikipedia.org/wiki/Staphylococcus_aureus#/media/File:Staphylococcus_aureus_VISA_2.jpg
Staphylococcus_epidermidis,Staphylococcus_epidermidis,p,1,FALSE,https://en.wikipedia.org/wiki/Staphylococcus_epidermidis,https://en.wikipedia.org/wiki/Staphylococcus_epidermidis#/media/File:Staphylococcus_epidermidis_01.png
Staphylococcus_lugdunensis,Staphylococcus_lugdunensis,p,1,FALSE,https://en.wikipedia.org/wiki/Staphylococcus_lugdunensis,http://bacmap.wishartlab.com/system/images/1045/medium/Staphylococcus_lugdunensis.jpg?1319706541
Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia,n,1,FALSE,https://en.wikipedia.org/wiki/Stenotrophomonas_maltophilia,https://openi.nlm.nih.gov/imgs/512/104/2858031/2858031_1471-2180-10-102-2.png
Streptococcus_pneumoniae,Streptococcus_pneumoniae,p,1,FALSE,https://en.wikipedia.org/wiki/Streptococcus_pneumoniae,http://healthcollege.edu.pl/wp-content/plugins/RSSPoster_PRO/cache/c62e8_130916171345-drug-resistant-streptococcus-pneumoniae-horizontal-gallery.jpg
CCFStaphylococcus_aureus,Staphylococcus_aureus,p,1,TRUE,https://en.wikipedia.org/wiki/Staphylococcus_aureus,https://en.wikipedia.org/wiki/Staphylococcus_aureus#/media/File:Staphylococcus_aureus_VISA_2.jpg
Strep_Group A,Streptococcus_pneumoniae,p,1,TRUE,https://en.wikipedia.org/wiki/Staphylococcus_aureus,https://en.wikipedia.org/wiki/Staphylococcus_aureus#/media/File:Staphylococcus_aureus_VISA_2.jpg
Strep_Group B,Streptococcus_pneumoniae,p,1,TRUE,https://en.wikipedia.org/wiki/Staphylococcus_aureus,https://en.wikipedia.org/wiki/Staphylococcus_aureus#/media/File:Staphylococcus_aureus_VISA_2.jpg
